Gene	Chrom	Start	End	Strand	Introns	Expression	Functional	NotFunctional	Functional_Transcripts	NotFunctional_Transcripts	Shannon	Evenness	Hill_q0	Hill_q1	Hill_q2	Num_Isoforms	MatingTypeRegion
1	scaffold_1	19214	19809	+	0	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
2	scaffold_1	23776	24862	+	0	249	249	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
3	scaffold_1	28687	30839	+	1	22	22	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.AZW_EuGene.0000010013	scaffold_1	41669	43919	+	2	9	3	6	1	1	0.6365	0.9183	2	1.8899	1.8000	2	0
5	scaffold_1	43940	44909	+	1	233	233	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_10016	scaffold_1	45041	46314	+	2	670	670	0	3	0	0.3048	0.2774	3	1.3563	1.1628	3	0
7	scaffold_1	48267	48906	+	0	58	58	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
8	scaffold_1	51378	52187	+	0	12	12	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pm.C_10002	scaffold_1	55933	57260	+	1	117	117	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
10	scaffold_1	59675	60389	+	0	23683	23683	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
11	scaffold_1	61916	63251	+	0	51	51	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
12	scaffold_1	64049	66873	+	3	16	16	0	2	0	0.4826	0.6962	2	1.6202	1.4382	2	0
13	scaffold_1	78518	79243	+	0	2566	2566	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.AZW_estExt_Genewise1Plus.C_10036	scaffold_1	90223	93070	+	2	36	7	29	1	2	0.9378	0.8536	3	2.5544	2.2268	3	0
15	scaffold_1	104211	105132	+	0	31	0	31	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pm.C_10006	scaffold_1	105232	106257	+	1	2682	2682	0	2	0	0.2114	0.3050	2	1.2354	1.1148	2	0
17	scaffold_1	112071	112869	+	2	881	0	881	0	3	0.3528	0.3212	3	1.4231	1.1971	3	0
MicpuC2.estExt_Genewise1.C_10049	scaffold_1	112960	113774	+	1	631	548	83	2	1	0.5305	0.4829	3	1.6998	1.3968	3	0
