isoform	chrom	start	end	gene_id	is_MT	has_IR	perc_A_downstream_TTS
Isoform1_84	scaffold_1	2189858	2191163	estExt_fgenesh1_pm.C_1_t20084	0	False	15.0
Isoform7_87	scaffold_1	2190327	2191160	estExt_fgenesh1_pm.C_1_t20084	0	False	20.0
Isoform15_3	scaffold_1	2191140	2192288	3997	0	False	40.0
Isoform16_4	scaffold_1	2191140	2191690	3997	0	False	40.0
Isoform17_16	scaffold_1	2193675	2194526	328	0	False	10.0
Isoform18_79	scaffold_1	2194788	2196370	estExt_Genemark1.C_1_t30050	0	False	25.0
Isoform9743_249	scaffold_1	23776	24862	1	0	False	30.0
Isoform9744_34	scaffold_1	24879	26950	2	0	False	5.0
Isoform9747_110	scaffold_1	26902	28584	estExt_Genewise1.C_1_t10020	0	False	15.0
Isoform9749_14	scaffold_1	51123	52187	7	0	False	15.0
Isoform9750_23683	scaffold_1	59675	60389	9	0	False	25.0
Isoform9755_51	scaffold_1	61916	63251	10	0	False	15.0
Isoform9756_29	scaffold_1	77730	79243	12	0	False	15.0
Isoform9757_2554	scaffold_1	78518	79243	12	0	False	15.0
Isoform9759_25	scaffold_1	93837	94841	15	0	False	35.0
Isoform9760_146	scaffold_1	105232	106255	MicpuC2.estExt_fgenesh1_pm.C_10006	0	True	40.0
Isoform9762_85	scaffold_1	112960	113701	MicpuC2.estExt_Genewise1.C_10049	0	True	15.0
Isoform9764_29	scaffold_1	118324	119824	estExt_fgenesh2_kg.C_10005	0	False	15.0
Isoform9766_30	scaffold_1	118528	119824	estExt_fgenesh2_kg.C_10005	0	False	15.0
Isoform9771_85	scaffold_1	126804	127799	estExt_fgenesh2_kg.C_10007	0	False	0.0
Isoform9772_37	scaffold_1	138672	140207	MicpuC2.estExt_Genewise1Plus.C_10065	0	False	15.0
Isoform9773_76	scaffold_1	139023	140165	MicpuC2.estExt_Genewise1Plus.C_10065	0	False	20.0
Isoform9777_3	scaffold_1	140192	141071	3722	0	False	20.0
Isoform9778_64	scaffold_1	145719	147020	3723	0	False	25.0
Isoform9779_143	scaffold_1	151326	152412	24	0	False	35.0
